PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FG_PCT,FT_PCT,AST,TOV
Vít Krejčí,ATL,22,541.32,0.49,0.833,50,20
Walker Kessler,UTA,64,1493.1066666666666,0.654,0.602,60,66
Wendell Carter Jr.,ORL,55,1406.3033333333333,0.525,0.694,95,68
Wendell Moore Jr.,MIN,25,75.13166666666666,0.5,0.0,6,4
Wenyen Gabriel,MEM,5,81.01666666666667,0.364,0.0,3,8
Wesley Matthews,ATL,36,412.87,0.351,0.75,23,8
Xavier Moon,LAC,14,119.25,0.326,0.5,21,5
Xavier Tillman,BOS,54,974.555,0.434,0.44,77,34
Yuta Watanabe,MEM,34,464.3733333333333,0.353,0.588,15,19
Zach Collins,SAS,69,1525.7283333333332,0.484,0.753,194,132
Zach LaVine,CHI,25,871.8616666666667,0.452,0.854,98,52
Zavier Simpson,MEM,7,161.38333333333333,0.315,0.75,25,10
Zeke Nnaji,DEN,58,576.12,0.463,0.677,32,27
Ziaire Williams,MEM,51,1037.6816666666666,0.397,0.827,75,66
Zion Williamson,NOP,70,2206.923333333333,0.57,0.702,352,193
