PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FG_PCT,FT_PCT,AST,TOV
Jeff Green,HOU,78,1307.3383333333334,0.456,0.819,70,46
Jerami Grant,POR,54,1830.1866666666667,0.451,0.817,152,116
Jeremiah Robinson-Earl,NOP,39,334.31333333333333,0.474,0.75,21,16
Jeremy Sochan,SAS,74,2193.095,0.438,0.771,249,140
Jericho Sims,NYK,45,584.7833333333333,0.691,0.667,25,16
Jermaine Samuels Jr.,HOU,14,60.13166666666667,0.643,1.0,3,0
Jerome Robinson,GSW,22,80.71666666666667,0.333,0.636,5,2
Jett Howard,ORL,18,66.51666666666667,0.333,0.5,6,3
Jevon Carter,CHI,72,1003.6016666666668,0.378,0.571,94,36
Jimmy Butler III,MIA,60,2042.0583333333332,0.499,0.858,298,102
Jock Landale,HOU,56,763.46,0.515,0.8,65,31
Joe Harris,DET,16,169.97833333333332,0.359,0.5,10,4
Joe Ingles,ORL,68,1169.0316666666668,0.436,0.824,203,67
Joel Embiid,PHI,39,1309.371666666667,0.529,0.883,219,150
John Collins,UTA,68,1901.06,0.532,0.795,77,98
John Konchar,MEM,55,1173.5733333333333,0.423,0.84,110,46
Johnny Davis,WAS,50,613.48,0.403,0.583,32,13
Johnny Juzang,UTA,20,371.8033333333333,0.464,0.714,23,13
Jonas Valančiūnas,NOP,82,1924.8316666666667,0.559,0.785,173,111
Jonathan Isaac,ORL,58,914.61,0.51,0.72,30,27
Jonathan Kuminga,GSW,74,1949.513333333333,0.529,0.746,163,122
Jontay Porter,TOR,26,359.73833333333334,0.385,0.833,60,21
Jordan Clarkson,UTA,55,1682.3416666666667,0.413,0.881,277,146
Jordan Ford,SAC,6,21.816666666666663,0.571,1.0,2,1
Jordan Goodwin,MEM,57,1055.77,0.369,0.746,155,56
Jordan Hawkins,NOP,67,1160.58,0.382,0.838,70,40
Jordan McLaughlin,MIN,56,626.12,0.483,0.722,110,19
Jordan Miller,LAC,8,28.191666666666663,0.556,1.0,0,1
Jordan Nwora,TOR,52,711.3933333333333,0.462,0.83,62,53
Jordan Poole,WAS,78,2345.555,0.413,0.877,343,188
Jordan Walsh,BOS,9,83.47333333333333,0.4,0.5,5,3
Jose Alvarado,NOP,56,1028.37,0.412,0.673,117,40
Josh Giddey,OKC,80,2011.5583333333332,0.475,0.806,386,168
Josh Green,DAL,57,1504.72,0.479,0.684,130,60
